city,lat,lng,country,iso2,admin_name,Regions,population,population_proper,cases,"(Upper tier) total cumulative confirmed covid cases per 100,000 population","(Lower tier) total cumulative confirmed covid cases per 100,000 population"
Sollom,53.662,-2.825,United Kingdom,GB,Lancashire,,5350,5350,,12990.00,
Redbourn,51.8002,-0.3965,United Kingdom,GB,Hertfordshire,,5344,5344,,10114.00,
Newton Grange,55.868,-3.067,United Kingdom,GB,Midlothian,,5341,5341,,9577.00,9712.3
Cuddington,53.24,-2.6,United Kingdom,GB,Cheshire West and Chester,,5333,5333,,10519.70,10577.8
Newmains,55.7832,-3.8771,United Kingdom,GB,North Lanarkshire,,5329,5329,,12751.90,12912.3
Polmont,55.9908,-3.7064,United Kingdom,GB,Falkirk,,5321,5320,,8370.70,8484.1
Bourne End,51.5817,-0.7134,United Kingdom,GB,Buckinghamshire,,5320,5320,,9111.80,
Neilston,55.7847,-4.4234,United Kingdom,GB,East Renfrewshire,,5320,5170,,11211.70,11380.4
Wool,50.6789,-2.2189,United Kingdom,GB,Dorset,,5310,5310,,6074.10,6113.1
Alness,57.695,-4.258,United Kingdom,GB,Highland,,5310,5310,,4607.30,4728.8
Paulton,51.3069,-2.5027,United Kingdom,GB,Bath and North East Somerset,,5303,5303,,8501.90,8527.3
Murston,51.341,0.7524,United Kingdom,GB,Kent,,5300,5300,,10120.00,
Brayton,53.7682,-1.0907,United Kingdom,GB,North Yorkshire,,5299,5299,,8686.00,
Roundway,51.368,-1.981,United Kingdom,GB,Wiltshire,,5290,5290,,6775.20,6811.4
Glyncorrwg,51.6776,-3.6292,United Kingdom,GB,Neath Port Talbot,,5283,5283,,10978.90,11079.3
Wincanton,51.0559,-2.4102,United Kingdom,GB,Somerset,,5272,5272,,6789.60,
Keswick,54.5999,-3.1293,United Kingdom,GB,Cumbria,,5243,5243,,9575.00,
Tickhill,53.4305,-1.1135,United Kingdom,GB,Doncaster,,5228,5228,,13001.60,13061
Tettenhall,52.5983,-2.168,United Kingdom,GB,Wolverhampton,,5225,5225,,13310.90,13367.3
Sedgefield,54.65,-1.45,United Kingdom,GB,Durham,,5211,5211,,,
Measham,52.7061,-1.508,United Kingdom,GB,Leicestershire,,5209,5209,,10530.00,
Newent,51.9302,-2.4048,United Kingdom,GB,Gloucestershire,,5207,5207,,7111.20,
Hunters Quay,55.9707,-4.9116,United Kingdom,GB,Argyll and Bute,,5198,5198,,5611.60,5724
Ore,50.8721,0.6085,United Kingdom,GB,East Sussex,,5195,5195,,8286.60,
Edwinstowe,53.16,-1.07,United Kingdom,GB,Nottinghamshire,,5188,5188,,11286.40,
Church,53.755,-2.386,United Kingdom,GB,Lancashire,,5186,5186,,12990.00,
Holytown,55.8229,-3.9701,United Kingdom,GB,North Lanarkshire,,5180,5160,,12751.90,12912.3
Quorndon,52.7428,-1.17,United Kingdom,GB,Leicestershire,,5177,5177,,10530.00,
Holmfirth,53.57,-1.787,United Kingdom,GB,Kirklees,,5173,5173,,12196.30,12249.3
Ruskington,53.0444,-0.3875,United Kingdom,GB,Lincolnshire,,5169,5169,,8837.00,
Waterbeach,52.2664,0.1908,United Kingdom,GB,Cambridgeshire,,5166,5166,,7381.60,
Brixworth,52.329,-0.904,United Kingdom,GB,Northamptonshire,,5162,5162,,9892.00,
Woodville,52.769,-1.533,United Kingdom,GB,Leicestershire,,5161,5161,,10530.00,
Pinchbeck,52.8147,-0.1605,United Kingdom,GB,Lincolnshire,,5153,5153,,8837.00,
Nursling,50.9449,-1.4727,United Kingdom,GB,Hampshire,,5137,5137,,7789.10,
Bungay,52.4496,1.4477,United Kingdom,GB,Suffolk,,5127,5127,,6266.70,
Kinross,56.205,-3.423,United Kingdom,GB,Perth and Kinross,,5120,5120,,6537.40,6606.5
Cwmbach,51.7072,-3.4128,United Kingdom,GB,Rhondda Cynon Taff,,5117,5117,,,
Llangefni,53.256,-4.314,United Kingdom,GB,Isle of Anglesey,,5116,5116,,5245.60,5309.5
Looe,50.354,-4.454,United Kingdom,GB,Cornwall,,5112,5112,,,
Great Meols,53.4014,-3.1553,United Kingdom,GB,Wirral,,5110,5110,,11869.50,11906.8
Elstree,51.64,-0.3,United Kingdom,GB,Hertfordshire,,5110,5110,,10114.00,
South Molton,51.02,-3.83,United Kingdom,GB,Devon,,5108,5108,,6363.60,
Botley,50.9144,-1.27,United Kingdom,GB,Hampshire,,5100,5100,,7789.10,
Grangetown,54.58,-1.144,United Kingdom,GB,Redcar and Cleveland,,5088,5088,,13164.20,13234.9
Oakley,51.251,-1.1764,United Kingdom,GB,Hampshire,,5086,5086,,7789.10,
Swanwick,53.075,-1.398,United Kingdom,GB,Derbyshire,,5084,5084,,9964.20,
Baystonhill,52.6727,-2.7654,United Kingdom,GB,Shropshire,,5079,5079,,7681.30,7731.1
Middleton-on-Sea,50.7949,-0.6197,United Kingdom,GB,West Sussex,,5077,5077,,8134.30,
